,organ,tissue_type,cell_type,cell_type_ontology_id,disease,sex,ethnicity,development_stage,count
0,skin,adipose tissue,B cell,CL:0000236,normal,male,unknown,human adult stage,23
1,skin,adipose tissue,T cell,CL:0000084,normal,male,unknown,human adult stage,1715
2,skin,adipose tissue,endothelial cell,CL:0000115,normal,male,unknown,human adult stage,3748
3,skin,adipose tissue,fibroblast,CL:0000057,normal,male,unknown,human adult stage,8459
4,skin,adipose tissue,leukocyte,CL:0000738,normal,male,unknown,human adult stage,160
5,skin,adipose tissue,macrophage,CL:0000235,normal,male,unknown,human adult stage,2807
6,skin,adipose tissue,mast cell,CL:0000097,normal,male,unknown,human adult stage,4
7,skin,adipose tissue,mature NK T cell,CL:0000814,normal,male,unknown,human adult stage,572
8,skin,adipose tissue,mesenchymal stem cell,CL:0000134,normal,male,unknown,human adult stage,1311
9,skin,adipose tissue,myofibroblast cell,CL:0000186,normal,male,unknown,human adult stage,982
10,skin,adipose tissue,neutrophil,CL:0000775,normal,male,unknown,human adult stage,440
11,skin,adipose tissue,plasma cell,CL:0000786,normal,male,unknown,human adult stage,26
12,skin,adipose tissue,smooth muscle cell,CL:0000192,normal,male,unknown,human adult stage,16
13,urinary bladder,bladder organ,B cell,CL:0000236,normal,female,unknown,human adult stage,251
14,urinary bladder,bladder organ,T cell,CL:0000084,normal,female,unknown,human adult stage,2626
15,urinary bladder,bladder organ,bladder urothelial cell,CL:1001428,normal,female,unknown,human adult stage,2873
16,urinary bladder,bladder organ,capillary endothelial cell,CL:0002144,normal,female,unknown,human adult stage,66
17,urinary bladder,bladder organ,endothelial cell of lymphatic vessel,CL:0002138,normal,female,unknown,human adult stage,73
18,urinary bladder,bladder organ,fibroblast,CL:0000057,normal,female,unknown,human adult stage,4927
19,urinary bladder,bladder organ,macrophage,CL:0000235,normal,female,unknown,human adult stage,4876
20,urinary bladder,bladder organ,mast cell,CL:0000097,normal,female,unknown,human adult stage,991
21,urinary bladder,bladder organ,mature NK T cell,CL:0000814,normal,female,unknown,human adult stage,485
22,urinary bladder,bladder organ,myofibroblast cell,CL:0000186,normal,female,unknown,human adult stage,1989
23,urinary bladder,bladder organ,pericyte cell,CL:0000669,normal,female,unknown,human adult stage,708
24,urinary bladder,bladder organ,plasma cell,CL:0000786,normal,female,unknown,human adult stage,1141
25,urinary bladder,bladder organ,plasmacytoid dendritic cell,CL:0000784,normal,female,unknown,human adult stage,18
26,urinary bladder,bladder organ,smooth muscle cell,CL:0000192,normal,female,unknown,human adult stage,227
27,urinary bladder,bladder organ,vein endothelial cell,CL:0002543,normal,female,unknown,human adult stage,266
28,blood,blood,CD141-positive myeloid dendritic cell,CL:0002394,normal,male;female,unknown,human adult stage,15
29,blood,blood,"CD4-positive, alpha-beta T cell",CL:0000624,normal,female,unknown,human adult stage,2863
30,blood,blood,"CD4-positive, alpha-beta memory T cell",CL:0000897,normal,male;female,unknown,human adult stage,949
31,blood,blood,"CD8-positive, alpha-beta T cell",CL:0000625,normal,male;female,unknown,human adult stage,1322
32,blood,blood,"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,normal,male;female,unknown,human adult stage,1493
33,blood,blood,alpha-beta T cell,CL:0000789,normal,female,unknown,human adult stage,31
34,blood,blood,basophil,CL:0000767,normal,male;female,unknown,human adult stage,29
35,blood,blood,classical monocyte,CL:0000860,normal,male;female,unknown,human adult stage,7211
36,blood,blood,common myeloid progenitor,CL:0000049,normal,female,unknown,human adult stage,3
37,blood,blood,erythrocyte,CL:0000232,normal,male;female,unknown,human adult stage,10484
38,blood,blood,granulocyte,CL:0000094,normal,female,unknown,human adult stage,2
39,blood,blood,hematopoietic stem cell,CL:0000037,normal,male;female,unknown,human adult stage,70
40,blood,blood,macrophage,CL:0000235,normal,female,unknown,human adult stage,488
41,blood,blood,mature NK T cell,CL:0000814,normal,male;female,unknown,human adult stage,2948
42,blood,blood,memory B cell,CL:0000787,normal,male;female,unknown,human adult stage,854
43,blood,blood,monocyte,CL:0000576,normal,female,unknown,human adult stage,8972
44,blood,blood,naive B cell,CL:0000788,normal,male;female,unknown,human adult stage,2239
45,blood,blood,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,normal,male;female,unknown,human adult stage,412
46,blood,blood,neutrophil,CL:0000775,normal,male;female,unknown,human adult stage,8456
47,blood,blood,non-classical monocyte,CL:0000875,normal,male;female,unknown,human adult stage,8
48,blood,blood,plasma cell,CL:0000786,normal,male;female,unknown,human adult stage,488
49,blood,blood,plasmablast,CL:0000980,normal,female,unknown,human adult stage,10
50,blood,blood,plasmacytoid dendritic cell,CL:0000784,normal,male;female,unknown,human adult stage,11
51,blood,blood,platelet,CL:0000233,normal,male;female,unknown,human adult stage,239
52,blood,blood,type I NK T cell,CL:0000921,normal,male;female,unknown,human adult stage,518
53,bone marrow,bone marrow,"CD4-positive, alpha-beta T cell",CL:0000624,normal,male;female,unknown,human adult stage,2025
54,bone marrow,bone marrow,"CD8-positive, alpha-beta T cell",CL:0000625,normal,male;female,unknown,human adult stage,1147
55,bone marrow,bone marrow,common myeloid progenitor,CL:0000049,normal,male;female,unknown,human adult stage,287
